id,kind,grade,implied,authored,has_review
spain,institution,B,reported,documented,no
japan,institution,B,reported,documented,no
india,institution,B,reported,documented,no
airbus,institution,B,reported,documented,no
eni,institution,B,reported,documented,no
alstom,institution,B,reported,documented,no
caf,institution,B,reported,documented,no
ebrd,institution,B,reported,documented,no
jica,institution,B,reported,documented,no
terna,institution,B,reported,documented,no
tunisie-autoroutes,institution,C,inferred,reported,no
nafas-collective,institution,C,inferred,reported,no
atb,institution,C,inferred,reported,no
amel-ben-yedder,person,C,inferred,reported,no
youssef-bayah,person,C,inferred,reported,no
aziz-miled,person,C,inferred,reported,no
hedi-bouchamaoui,person,C,inferred,reported,no
moncef-mzabi,person,C,inferred,reported,no
youssef-zouaghi,person,B,reported,documented,no
zied-el-heni,person,C,inferred,reported,no
wael-naouar,person,C,inferred,reported,no
nabil-channoufi,person,C,inferred,reported,no
ghassan-henchiri,person,C,inferred,reported,no
ghassan-boughdiri,person,C,inferred,reported,no
p-dgsn-dabbabi,position,C,inferred,reported,no
p-dgsn-rajhi,position,C,inferred,reported,no
p-dgsn-bettaieb,position,B,reported,documented,no
p-dgsn-guizani,position,B,reported,documented,no
p-dgsp-harroum,position,C,inferred,reported,no
p-nsa-hamdi,position,C,inferred,reported,no
rel-aziz-miled-ben-ali-institutional,relationship,C,inferred,reported,no
rel-moncef-mzabi-ben-ali-institutional,relationship,C,inferred,reported,no
rel-marzouki-laarayedh-appointment,relationship,B,reported,documented,no
rel-marzouki-bentaous-appointment,relationship,B,reported,documented,no
rel-myriam-marzouki-marzouki-family,relationship,B,reported,documented,no
rel-nadia-marzouki-marzouki-family,relationship,B,reported,documented,no
rel-lotfi-bel-hadj-marzouki-family,relationship,B,reported,documented,no
rel-marzouki-rached-ghannouchi-political-alliance,relationship,B,reported,documented,no
rel-marzouki-armed-forces-security,relationship,B,reported,documented,no
rel-mebazaa-ghannouchi-appointment,relationship,B,reported,documented,no
rel-mebazaa-essebsi-appointment,relationship,B,reported,documented,no
rel-mebazaa-ennaceur-appointment,relationship,B,reported,documented,no
rel-lilia-ben-chedly-mebazaa-family,relationship,C,inferred,reported,no
rel-mebazaa-ghannouchi-succession-conflict,relationship,B,reported,documented,no
rel-bourguiba-ennaceur-appointment-1974,relationship,B,reported,documented,no
rel-bourguiba-ennaceur-appointment-1979,relationship,B,reported,documented,no
rel-siren-ennaceur-mohamed-ennaceur-family,relationship,B,reported,documented,no
rel-mohamed-ennaceur-legislature-institutional,relationship,B,reported,documented,no
rel-mohamed-ennaceur-armed-forces-security,relationship,C,reported,documented,no
rel-judiciary-makhloufi-prosecution,relationship,B,reported,documented,no
own-bukhatir-scit-2026-08-20,relationship,B,reported,documented,no
own-materi-radio-zaytouna-2007,relationship,B,reported,documented,no
own-state-radio-zaytouna-2011,relationship,B,reported,documented,no
own-karoui-nessma-50-2008,relationship,B,reported,documented,no
own-mediaset-nessma-25-2008,relationship,B,reported,documented,no
own-quinta-nessma-25-2008,relationship,B,reported,documented,no
zied-el-heni-sentenced-2026,event,C,inferred,reported,no
karmous-prison-death-2026,event,C,inferred,reported,no
dridi-prison-death-2026,event,C,inferred,reported,no
cour-des-comptes-losses-2026,event,C,inferred,reported,no
moussi-cassation-appeals-2026,event,C,inferred,reported,no
tunisia-summons-french-ambassador-2026,event,C,inferred,reported,no
hammami-open-letter-2026,event,C,inferred,reported,no
bensedrine-financial-brigade-2026,event,C,inferred,reported,no
migrants-african-court-petitions-2026,event,C,inferred,reported,no
african-court-withdrawal-2026,event,C,inferred,reported,no
ugtt-khelifi-death-2026,event,C,inferred,reported,no
libya-border-surveillance-cameras-2026,event,C,inferred,reported,no
ev-libya-dbeibah-talks-tunis-2026,event,C,inferred,reported,no
ev-autoroutes-a1-a2-concessions-2026,event,C,inferred,reported,no
ev-fitch-affirms-b-minus-2026-09,event,C,inferred,reported,no
ev-sumud-four-detention-2026-02,event,C,inferred,reported,no
ev-tunisia-germany-accords-2026-08-31,event,C,inferred,reported,no
ev-sabotage-declaration-2026-08-26,event,C,inferred,reported,no
ev-arp-petition-2026-08-29,event,C,inferred,reported,no
ev-solar-309-authorisations-2026-09,event,C,inferred,reported,no
ev-ugtt-strike-instance-2026-09-10,event,C,inferred,reported,no
gafta,agreement,B,reported,documented,no
agadir-agreement,agreement,B,reported,documented,no
bit-germany-1963,agreement,B,reported,documented,no
bit-uae-1996,agreement,B,reported,documented,no
bit-kuwait-1973,agreement,B,reported,documented,no
bit-oman-1991,agreement,B,reported,documented,no
bit-qatar-1996,agreement,B,reported,documented,no
bit-turkey-1991,agreement,B,reported,documented,no
bit-switzerland-2012,agreement,B,reported,documented,no
elmed-interconnector-agreement,agreement,B,reported,documented,no
agg-public-debt-total-2024,world-claim,B,reported,documented,no
agg-public-debt-total-2025,world-claim,B,reported,documented,no
agg-public-debt-external-2024,world-claim,B,reported,documented,no
agg-tourism-receipts-2024,world-claim,B,reported,documented,no
agg-tourism-arrivals-2024,world-claim,C,inferred,reported,no
airbus,company,B,reported,documented,no
eni,company,B,reported,documented,no
alstom,company,B,reported,documented,no
caf,company,B,reported,documented,no
jica,company,B,reported,documented,no
terna,company,B,reported,documented,no
tunisie-autoroutes,company,C,inferred,reported,no
atb,company,C,inferred,reported,no
ctr-gct-bangladesh-2024,contract,B,reported,documented,no
ctr-sncft-ebrd-2017,contract,B,reported,documented,no
ctr-sonede-djerba-dessalement-2018,contract,B,reported,documented,no
ctr-sonede-sfax-dessalement-2022,contract,B,reported,documented,no
ctr-elmed-financing-2023-2024,contract,B,reported,documented,no
ctr-tunisie-autoroutes-a1-reconcession-2026,contract,C,inferred,reported,no
ctr-tunisie-autoroutes-a2-concession-2026,contract,C,inferred,reported,no
lic-wifak-bank-2015,licence,B,reported,documented,no
