study_id,kind,id,confidence,basis,notes
S001,position,p-media-attessia-ouertani,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=4, hasTier1=false → B/reported
S002,position,p-relaff-battikh,A,documented,Simulated (rubric-only): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S003,relationship,rel-lina-ben-mhenni-nawaat-institutional,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported
S004,position,p-air-laajimi,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S005,position,p-douane-safer,A,documented,Simulated (rubric-only): 3 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S006,position,p-ig-laajimi,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S007,relationship,rel-houcine-abassi-ugtt-institutional,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported
S008,position,p-bank-stb-lotfi-debbabi,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred
S009,contract,ctr-steg-eni-gas-2015-2017,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred
S010,contract,ctr-sncft-attijari-locomotives-2017,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S011,position,p-isie-bouasker,A,documented,Simulated (rubric-only): 4 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S012,relationship,rel-wassila-bourguiba-presidency-reported-influence,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=4, hasTier1=false → B/reported
S013,contract,ctr-sonede-zarat-dessalement-2023,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S014,relationship,rel-mohamed-ennaceur-youssef-chahed-political-alliance,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred
S015,event,conspiracy-trial-2025,B,reported,Simulated (rubric-only): 6 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S016,relationship,rel-kais-saied-khaled-nouri-appointment,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S017,relationship,rel-ben-ali-bourguiba-succession,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S018,event,tabib-convicted-2026,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S019,event,hannibal-tv-confiscated,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S020,company,steg-international-services,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred
S021,relationship,board-bna-nejia-gharbi,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S022,event,ivd-final-report,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S023,position,p-dgsn-dabbabi,B,reported,Simulated (rubric-only): 4 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S024,relationship,rel-judiciary-saadia-mosbah-prosecution,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred
S025,position,p-def-kallel,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
