paper_ref,claim_text,status,code_pointer,test_pointer,notes
"§1, §8.2, Appendix (stat tags)",Every dataset number in the paper is a stat tag rewritten by the build at every `npm run data`; a hand-edit fails the suite.,shipped+tested,scripts/build-data.ts :: const STAT_DOCS; scripts/build-data.ts :: const stats,scripts/test-paper.ts :: every stat tag in every gated paper matches the emitted stats.json; scripts/test-paper.ts :: every required stat key is tagged in,The v0.1.2 source carries 48 unique keys against a 46-key required list (commitSha and roles tag separately). `npm run data` rewrites the tag and `npm run test` fails on drift in any gated paper.
"§3, Table 2 (kind counts)","The scale table reports the live count of every claim kind it lists (agreements, questions, hypotheses, companies, contracts, licences, declarations, education, regions, places), not a snapshot.",shipped+tested,scripts/build-data.ts :: agreements: String(agreements.length),scripts/test-paper.ts :: every required stat key is tagged in,"C13 of the successor: these rows were hand-typed and had drifted (agreements 7 vs 23, companies 8 vs 25, places 12 vs 44). They are emitted stats now, and the successor gate requires the keys."
"Table 5, §5.4 (constants)","The dataset floor and cutoff the paper quotes are the values in the parameter file, and the paper tags them rather than restating them.",shipped+tested,scripts/build-data.ts :: cutoff: parameters.time.cutoff; data/parameters.yaml :: time:,scripts/test-parameters.ts :: emitted meta.floor is the epoch of 1956-03-20 UTC; scripts/test-paper.ts :: every required stat key is tagged in,"C12 of the successor: the prose quoted 2026-07-26 after the parameter file had advanced to 2026-09-10, because the value was published as data but not as a tag."
"§8.2, Appendix (stat tags)","A hand-edit of a published stat fails the test suite, not only for the paper but for every document the build rewrites.",shipped+tested,scripts/build-data.ts :: const STAT_DOCS,scripts/test-data.ts :: published statistics match the graph; scripts/test-data.ts :: static/llms.txt,"The v0.1.1 gate covered only the paper, while STAT_DOCS also rewrites README, AGENTS, DESIGN and static/llms.txt. The successor release extended the existing test-data assertion to llms.txt and added the paper sources to test-paper, so the §8.2 promise holds for the whole set."
Appendix (gate-required stat tags),The appendix lists every required stat key and the gate requires each one to be tagged with the emitted value.,shipped+tested,scripts/test-paper.ts :: REQUIRED_KEYS,scripts/test-paper.ts :: the stat-tag appendix lists every required key in,"The appendix heading says ""all N keys""; the assertion pins N to REQUIRED_KEYS.length and requires one appendix tag per key in the newest gated paper, so the appendix cannot fall behind the list. The successor added claimRecords and intervalTrims (34 keys)."
"§5.2, Table 4",Every claim-bearing kind composes the same nine-field envelope through one schema function; no kind can carry less metadata.,shipped+tested,scripts/schema.ts :: withClaimEnvelope; scripts/build-data.ts :: claimKindRegistry,scripts/test-validators.ts :: V18/20: a clean position parses; scripts/test-validators.ts :: whitespace attributed_to,15 kinds in claimKindRegistry; the fail-path reaches the build through the schema on every parse.
"§5.2, Table 4","`basis` is derived from confidence and verification by a published, deterministic mapping; an author cannot upgrade a claim by omitting a field.",shipped+tested,scripts/schema.ts :: deriveBasis,scripts/test-data.ts :: the deriveBasis truth table is pinned — every input combination,15 input combinations (12 confidence × verification pairs plus 3 explicit-override cases) match the published table in §5.2.
"§5.2, §5.5, §7 (H1)","A stronger authored basis is an override and requires review, reasoning, a falsifier for inferred targets, at least one source, and a stated reason; both the authored and derived basis are emitted.",shipped+tested,scripts/schema.ts :: withClaimEnvelope; scripts/build-data.ts :: basisFields,scripts/test-validators.ts :: V27: a reported-over-inferred override without review is rejected; scripts/test-pipeline.ts :: the override probe fails and names the record (1B),"`output/basis-overrides.csv` is the work list; live legacy escapes are in `data/source-exceptions.yaml` with an owner and deadline, and the emitted record carries `basis_derived` beside `basis`."
"§5.2, §6, §7 (H2)","An undocumented key anywhere in a claim-bearing record, including nested review, dispute and interval objects, fails the build instead of being silently stripped.",shipped+tested,scripts/schema.ts :: ReviewSchema; scripts/schema.ts :: strictObject,scripts/test-validators.ts :: V28: an unknown review key (outcome) fails instead of being stripped; scripts/test-pipeline.ts :: the nested-outcome probe fails and names the record (1C),"V28 covers review, dispute, interval, equity, finance, influence, registration, capital, award, fees and impact objects plus every top-level claim schema."
"Table 7 (H1), §6 (V18)","An inference never ships without reasoning and a falsifier, checked on the derived basis for every claim kind.",shipped+tested,scripts/schema.ts :: withClaimEnvelope; scripts/schema.ts :: nonBlank,scripts/test-validators.ts :: whitespace reasoning; scripts/test-data.ts :: every inferred claim states a falsifier,The whitespace fixture runs over all 13 envelope kinds; the graph sweep checks the built positions.
