year,production_million_tonnes,source,notes
1900,0.2,S14,official series
1913,2.0,S14,official series
1930,3.4,S14,official series
1952,0.33,S24,TSP production starts (330000 t/yr)
1972,,S08,Gabès complex opens (ICM)
1976,,S08,CPG consolidated
1983,5.7,S14,official series — output passes 5 Mt
1998,7.8,S14,official series
1999,8.03,S14,official series
2000,8.3,S14,official series — all-time peak
2008,7.6,S14,Gafsa revolt year
2010,8.131,S14,"official series — often rounded to ""8.2"" (Reuters S51)"
2011,2.28,S14,official series — revolution collapse
2019,1.275,S9,"MoF — revenue context (1275m TND)"
2020,0.936,S9,"MoF — revenue context (936m TND, net -608m)"
2021,1.979,S10,"MoF — revenue context (1979m TND)"
2022,3.179,S10,"MoF — revenue context (3179m TND)"
2023,2.075,S11,"AfDB SGES — turnover (2075m TND)"
2024,3.4,S1,L'Éco Maghrébin — "3400m TND, +247%"
2025,3.0,S18,"Kapitalis — estimated (~3 Mt)"
