id,kind,confidence,basis_before,basis_after,source_relation,independence,applied,status,reviewer,reason
p-bct-nouri,positions,A,documented,documented,direct-record,2,yes,applied,adala,"kind matches the evidence; origins counted by family (record+journalism), journalism counted once until lineage review"
p-tourism-elloumi,positions,A,documented,documented,direct-record,2,yes,applied,adala,"kind matches the evidence; origins counted by family (record+journalism), journalism counted once until lineage review"
p-admin-abdessalem-mehdi-grissiaa,positions,B,reported,reported,single-report,1,yes,applied,adala,"kind matches the evidence; origins counted by family (journalism), journalism counted once until lineage review"
p-dgsn-toujani,positions,B,reported,reported,corroborated-report,2,yes,applied,adala,"kind matches the evidence; origins counted by family (unclassified+journalism), journalism counted once until lineage review"
p-gv-mustapha-kaak,positions,B,reported,reported,single-report,1,yes,applied,adala,"kind matches the evidence; origins counted by family (journalism), journalism counted once until lineage review"
p-land-hamdi,positions,C,reported,reported,single-report,1,yes,applied,adala,"kind matches the evidence; origins counted by family (journalism), journalism counted once until lineage review"
p-party-tayyar-abbou-2nd,positions,B,reported,reported,corroborated-report,2,yes,applied,adala,"kind matches the evidence; origins counted by family (unclassified+journalism), journalism counted once until lineage review"
p-utica-bouchamaoui,positions,B,reported,reported,single-report,1,yes,applied,adala,"kind matches the evidence; origins counted by family (journalism), journalism counted once until lineage review"
p-media-attessia-ouertani,positions,C,inferred,inferred,inference-from-records,1,yes,applied,adala,"kind matches the evidence; origins counted by family (journalism), journalism counted once until lineage review"
p-int-ghannouchi,positions,D,unsubstantiated,unsubstantiated,circulating-claim,1,yes,applied,adala,"kind matches the evidence; origins counted by family (journalism), journalism counted once until lineage review"
board-biat-adel-belfekih,relationships,A,documented,documented,direct-record,1,yes,applied,adala,"kind matches the evidence; origins counted by family (record), journalism counted once until lineage review"
rel-dorsaf-ben-ali-ben-ali-family,relationships,A,documented,documented,direct-record,1,yes,applied,adala,"kind matches the evidence; origins counted by family (record), journalism counted once until lineage review"
rel-youssef-saheb-ettabaa-mohamed-larbi-zarrouk-political-conflict,relationships,A,documented,documented,direct-record,2,yes,applied,adala,"kind matches the evidence; origins counted by family (journalism+record), journalism counted once until lineage review"
board-bh-ben-hammouda,relationships,B,reported,reported,single-report,1,yes,applied,adala,"kind matches the evidence; origins counted by family (journalism), journalism counted once until lineage review"
rel-ghazi-thouraya-jeribi-family,relationships,B,reported,reported,single-report,1,yes,applied,adala,"kind matches the evidence; origins counted by family (journalism), journalism counted once until lineage review"
rel-zouheir-mejri-judiciary-institutional,relationships,B,reported,reported,single-report,1,yes,applied,adala,"kind matches the evidence; origins counted by family (journalism), journalism counted once until lineage review"
board-bna-habib-benhadj-kouider,relationships,C,inferred,inferred,inference-from-records,1,yes,applied,adala,"kind matches the evidence; origins counted by family (journalism), journalism counted once until lineage review"
rel-wassila-bourguiba-presidency-reported-influence,relationships,C,inferred,inferred,inference-from-records,2,yes,applied,adala,"kind matches the evidence; origins counted by family (journalism+unclassified), journalism counted once until lineage review"
rel-armed-forces-presidency-allegation,relationships,D,unsubstantiated,unsubstantiated,circulating-claim,2,yes,applied,adala,"kind matches the evidence; origins counted by family (unclassified+record), journalism counted once until lineage review"
rel-trabelsi-network-presidency-allegation,relationships,D,unsubstantiated,unsubstantiated,circulating-claim,3,yes,applied,adala,"kind matches the evidence; origins counted by family (unclassified+record+journalism), journalism counted once until lineage review"
2014-constitution-adopted,events,A,documented,documented,direct-record,2,yes,applied,adala,"kind matches the evidence; origins counted by family (journalism+record), journalism counted once until lineage review"
wb-capture-2010,events,A,documented,documented,direct-record,1,yes,applied,adala,"kind matches the evidence; origins counted by family (record), journalism counted once until lineage review"
african-court-withdrawal-2026,events,C,reported,reported,single-report,1,yes,applied,adala,"kind matches the evidence; origins counted by family (journalism), journalism counted once until lineage review"
dridi-prison-death-2026,events,C,reported,reported,single-report,1,yes,applied,adala,"kind matches the evidence; origins counted by family (journalism), journalism counted once until lineage review"
ev-naufrage-zarzis-2026,events,B,reported,reported,single-report,1,yes,applied,adala,"kind matches the evidence; origins counted by family (journalism), journalism counted once until lineage review"
hammami-hunger-strike-2026,events,B,reported,reported,single-report,1,yes,applied,adala,"kind matches the evidence; origins counted by family (journalism), journalism counted once until lineage review"
migrants-african-court-petitions-2026,events,C,reported,reported,single-report,1,yes,applied,adala,"kind matches the evidence; origins counted by family (journalism), journalism counted once until lineage review"
relaff-direction-created-1967,events,B,reported,reported,corroborated-report,2,yes,applied,adala,"kind matches the evidence; origins counted by family (record+journalism), journalism counted once until lineage review"
zied-el-heni-sentenced-2026,events,C,reported,reported,single-report,1,yes,applied,adala,"kind matches the evidence; origins counted by family (journalism), journalism counted once until lineage review"
election-locales-2023,events,C,inferred,inferred,inference-from-records,1,yes,applied,adala,"kind matches the evidence; origins counted by family (journalism), journalism counted once until lineage review"
p-audit-abdelkader-zgolli,positions,A,documented,documented,direct-record,2,yes,sourced,adala,"Sourced: JORT 2011-1097 nominates and JORT 2014-1768 ends the office; kind stays documented, verification now verified."
p-cassation-hedi-guediri,positions,A,documented,documented,direct-record,2,yes,sourced,adala,Sourced: JORT 2017-81 names the appointment; the 2018 end date still rests on Wikipedia.
p-onat-abdessattar-ben-moussa,positions,A,documented,reported,single-report,1,yes,confirmed,adala,Bar elections are not gazetted and no verifiable ONAT register was found; the cited list is encyclopaedic.
p-speaker-ghannouchi,positions,A,documented,reported,single-report,1,yes,confirmed,adala,"The cited report covers the 2021 freeze, not the 2019 election of the speaker."
rel-beatrix-rhein-marzouki-family,relationships,B,documented,reported,single-report,1,yes,confirmed,adala,Both sources are encyclopaedic; no civil record is public.
rel-kais-saied-rached-ghannouchi-political-conflict,relationships,A,documented,reported,single-report,1,yes,confirmed,adala,The sources report the underlying acts; the conflict label is a characterization no document states.
rel-slim-ennaceur-mohamed-ennaceur-family,relationships,B,documented,reported,corroborated-report,2,yes,confirmed,adala,Two obituaries and an encyclopaedia report parentage and death; no public record establishes them.
arrests-feb-2023,events,A,documented,reported,single-report,1,yes,confirmed,adala,Reuters reports an arrest wave from lawyers' accounts; no prosecutor or Interior record is held.
mabrouk-appeal-2026,events,A,documented,reported,single-report,1,yes,confirmed,adala,TAP reports the appeal outcome; no published judgment was located.
sentences-july-2025,events,A,documented,reported,single-report,1,yes,confirmed,adala,Reuters reports the verdicts; the judgment itself is not public in held evidence.
