study_id,kind,id,confidence,basis,notes
S001,position,p-media-attessia-ouertani,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=4, hasTier1=false → B/reported (few-shot regime, lower noise)
S002,position,p-relaff-battikh,A,documented,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S003,relationship,rel-lina-ben-mhenni-nawaat-institutional,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S004,position,p-air-laajimi,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S005,position,p-douane-safer,A,documented,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S006,position,p-ig-laajimi,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S007,relationship,rel-houcine-abassi-ugtt-institutional,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S008,position,p-bank-stb-lotfi-debbabi,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred (few-shot regime, lower noise)
S009,contract,ctr-steg-eni-gas-2015-2017,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred (few-shot regime, lower noise)
S010,contract,ctr-sncft-attijari-locomotives-2017,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S011,position,p-isie-bouasker,A,documented,Simulated (rubric+examples): 4 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S012,relationship,rel-wassila-bourguiba-presidency-reported-influence,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=4, hasTier1=false → B/reported (few-shot regime, lower noise)
S013,contract,ctr-sonede-zarat-dessalement-2023,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred (few-shot regime, lower noise)
S014,relationship,rel-mohamed-ennaceur-youssef-chahed-political-alliance,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred (few-shot regime, lower noise)
