year_period,estimate_assets,asset_breakdown,claim_maker,methodology,source_url,basis,tier,dispute_flag,notes
"2016-2018","? — no published enumeration","No Tier 1-2 Tunisia-specific count","Absence (Meta Threat Index + X Transparency)","Systematic search of Meta CIB/Adversarial Threat index + X country report tn + Google TAG + ISIE reports","https://transparency.meta.com/metasecurity/threat-reporting | https://transparency.x.com/en/reports/countries/tn",documented,2,none,"Documented negative: no Tunisia SIA bot takedown figure in this window. Not evidence of zero activity."
"2019-01-31","783 total (global incl. Tunisia)","262 Pages + 356 FB accounts + 3 Groups + 162 IG","Facebook / Nathaniel Gleicher (Head Cybersecurity Policy)","Internal CIB investigation: graph analysis for CIB (fake accounts posing as locals, repurposed Iranian state media on Israel-Palestine/Syria/Yemen) + localized per country; includes Afghanistan Albania Algeria Bahrain Egypt France Germany India Indonesia Iran Iraq Israel Libya Mexico Morocco Pakistan Qatar Saudi Arabia Serbia South Africa Spain Sudan Syria Tunisia US Yemen","https://about.fb.com/news/2019/01/removing-cib-iran/",documented,2,open,"Global total across ~26 countries including Tunisia. Tunisia slice = ? — do not read 783 as Tunisia bots. Followers ~2M Pages / ~1.6k Groups / >254k IG; ad <$30k; 8 events May 2014–May 2018; dates back to 2010. Do not sum with domestic 993 or other foreign globals."
"2019-01-17 to 2019-03-12","11 Pages (Tunisia-related subset)","11 Pages only","Inkyfada (via DFRLab dataset)","OSINT review of content/dates/followers/interactions for Tunisia subset of Archimedes takedown; follower + interaction sums","https://inkyfada.com/fr/2019/06/03/tunisie-facebook-israel/",reported,3,none,"~500k followers (494865 per infographic); 359 posts >1M interactions; 36 videos ~8M views. Pages criticised many politicians but never attacked Nabil Karoui; 5 shared Nessma TV / Khalil Tounes content. 11 is Pages not accounts."
"2019-05-15 to 2019-07-15","38.5% of political messages in sample","Share of messages not account count","ATIDE + Democracy Reporting International (DRI)","Sampled FB political messages in campaign window; coded Page self-declared category vs content; flagged clusters sharing similar content within time windows as possible coordination ('page network')","https://democracy-reporting.org/wp-content/uploads/2019/09/20190911_Tunisia_Social_Media_Monitoring_Report_One_ENG_FINAL.pdf",documented,2,none,"Prevalence measure of unaffiliated amplifiers (self-categorised entertainment/satirical). Not a fake-account count. Window before 2019 presidential rounds (15 Sep / 13 Oct)."
"2019-05-16","265 total (global incl. Tunisia)","65 FB accounts + 161 Pages + 23 Groups + 12 events + 4 IG","Facebook / Nathaniel Gleicher (Head Cybersecurity Policy)","Internal CIB investigation: graph analysis for coordinated inauthentic behavior (fake identity + coordinated posting + concealment) + automated systems + human review; ban of Archimedes Group","https://about.fb.com/news/2019/05/removing-coordinated-inauthentic-behavior-from-israel/",documented,2,open,"Tunisia is 1 of 6 African focus countries (Nigeria Senegal Togo Angola Niger Tunisia) plus LatAm/SEA. Do not apportion 265 to Tunisia. Ad spend ~$812k Dec 2012–Apr 2019 (BRL/ILS/USD). Tunisia slice = ?"
"2019-10-03","251 total (global incl. Tunisia)","163 FB accounts + 51 Pages + 33 Groups + 4 IG","Facebook / Nathaniel Gleicher","Internal CIB investigation: fake accounts (some previously disabled) managing Pages posing as independent local news orgs, purchased/renamed Pages, posting about UAE/Saudi/Egypt support, Qatar/Iran/Turkey criticism, Yemen southern separatists; links to Egyptian newspaper El Fagr","https://about.fb.com/news/2019/10/removing-coordinated-inauthentic-behavior-in-uae-nigeria-indonesia-and-egypt",documented,2,open,"Global total across 10 foci (Somalia Yemen Saudi Arabia Sudan Tunisia Iran Turkey Lebanon Qatar). Tunisia is 1 target — Tunisia slice = ? — do not read 251 as Tunisia bots. Followers ~5.6M Pages / <3k Groups / <3k IG; ad <$31k. Do not sum with other foreign globals or domestic 993. Separate from Oct 2020 MB 58."
"2020-05-05","540 total (global incl. Tunisia)","118 Pages + 389 FB accounts + 27 Groups + 6 IG","Facebook (April 2020 CIB Report) — IRIB-linked","Internal CIB investigation: combination authentic/fake accounts with fake names common in target region, posed as local NGOs/independent news, merged Pages, repurposed Iranian state media; posted Arabic/Bengali/Bosnian/English about Syria Libya-Turkey etc.; linked to IRIB via Aug 2018/Jan 2019/Mar 2019 links","https://about.fb.com/news/2020/05/april-cib-report/ | https://about.fb.com/wp-content/uploads/2020/05/April-2020-CIB-Report.pdf",documented,2,open,"Global total across ~21 countries including Tunisia (Algeria Bangladesh Bosnia Egypt Ghana Libya Mauritania Morocco Nigeria Senegal Sierra Leone Somalia Sudan Tanzania Tunisia US UK Zimbabwe). Tunisia slice = ? — do not read 540 as Tunisia bots. Relayed by Freedom House FotN 2020 Tunisia. Do not sum with 783 or domestic 993."
"2020-05-29 to 2020-05-30","Up to 60 accounts (collateral)","Up to 60 FB accounts (+ IG/pages: Radyoon since 2012)","ARTICLE 19 (via affected users: Haythem El Mekki Sarah Ben Hamadi Bendir Man) vs Facebook","User reports of sudden deactivation without warning; Facebook via Guardian: 'technical error, small number restored' then May CIB Report: deliberate 993 removal","https://www.article19.org/resources/tunisia-confusion-over-deactivated-facebook-accounts/ | https://www.accessnow.org/transparency-required-is-facebooks-effort-to-clean-up-operation-carthage-damaging-free-expression-in-tunisia",reported,3,open,"Disputed edge: not clear if 60 overlapped with 993 or false positives. ~20 restored <24h via I Watch. Radyoon denied UReputation link. Do not sum 60 with 993."
"2020-06-05","993 total (origin Tunisia)","446 Pages + 182 FB accounts + 96 Groups + 60 events + 209 IG","Facebook (May 2020 CIB Report) + DFRLab / Atlantic Council","CIB graph detection (fake accounts posing as locals + coordinated posting + concealment + deceptive audience building) triggered by DFRLab referral Sep 2019; DFRLab OSINT Sep 2019–Jun 2020: >500 Pages/Groups/accounts WHOIS SecurityTrails subdomain Twitter history site graph cross-country","https://about.fb.com/news/2020/06/may-cib-report/ | https://about.fb.com/wp-content/uploads/2020/06/May-2020-Detailed-CIB-Report.pdf | https://www.atlanticcouncil.org/wp-content/uploads/2020/06/operation-carthage-002.pdf",documented,2,none,"Highest-trust Tunisia-origin count. Attributed to Tunisia-based PR firm UReputation (Lotfi Bel Hadj / Moëz Bhar-linked). ~3.8M Page followers / ~131900 Group joins / ~171500 IG followers / 4300 event interest; $331k ad spend (EUR/USD). Targeted 10 countries incl. Tunisia. Beneficiaries: Karoui (TN 2019) Gnassingbé (Togo Feb 2020) Bédié (CIV Oct 2020) Assoumani (Comoros)."
"2020-11-05","58 total (global incl. Tunisia)","31 FB accounts + 25 Pages + 2 IG","Facebook (October 2020 CIB Report, published 5 Nov 2020) — Muslim Brotherhood","Internal CIB investigation into suspected CIB in region; operated Egypt/Turkey/Morocco associated with Muslim Brotherhood; targeted Egypt Libya Tunisia Yemen Somalia Saudi Arabia (6 countries)","https://about.fb.com/news/2020/11/october-2020-cib-report",documented,2,open,"Global total across 6 countries including Tunisia — Tunisia slice = ? — do not read 58 as Tunisia bots. Report dated 5 Nov 2020 covering October enforcement. Distinct from Oct 2019 El Fagr 251. Do not sum with other foreign globals or domestic 993."
"2021-07-25 to 2021-07-28","12000 tweets from 6800 accounts (one hashtag)","6800 unique accounts (top 10 all Gulf influencers + >200 sock-puppets retweeting @7__e7 >200 times/5 min)","Marc Owen Jones (via Al Jazeera)","Twitter hashtag-scoped collection; self-reported location field; centrality ranking; network graph (disconnected constellation = inorganic); retweet velocity","https://www.aljazeera.com/news/2021/7/28/tunisia-crisis-prompts-surge-in-foreign-social-media-manipulation",reported,3,open,"Hashtag: Tunisians revolt against the brotherhood. Majority Saudi/UAE location. Gulf core monther72 faljubairi s_hm2030 emarati_shield etc. Fairuz fake persona (_sock-puppet/hacked accounts: Filipino 14yo Smurf avatar Emma Roberts). Foreign amplification not domestic farm. Do not read 6800 as bots."
"2021-2026","? — no published enumeration","No Tier 1-2 number found","Circulating commentary: Arab Center DC 2023-07-21 / POMED 2023-06-15 'digital army'","Qualitative description of heavy Facebook presence + doxxing + Decree 54 arrests; UNODC forensic equipment $200k 24 Mar 2021 (capability not scale)","https://arabcenterdc.org/resource/disinformation-as-a-tool-of-regime-survival-in-tunisia/ | https://mideastdc.org/publication/expert-qa-tunisian-president-kais-saieds-digital-army | https://legislation-securite.tn/latest-laws/decret-loi-n-2022-54-du-13-septembre-2022-relatif-a-la-lutte-contre-les-infractions-se-rapportant-aux-systemes-dinformation-et-de-communication/",unsubstantiated,3,open,"Documented negative on scale: qualitative claim exists but no enumeration at Tier 1-2 through 2026. Decree 54 creates powers not counts."
"2024 (6 Oct election)","? — no published enumeration",">150000 posts scraped (Arab Facts Hub) / qualitative pages/groups described (Digital Action) but no bot count","Digital Action / Mena Media Monitoring 22 Oct 2024 + Arab Facts Hub 150k-post scrape","Scraper + keyword post review around Oct 2024 vote","https://digitalaction.co/wp-content/uploads/2024/12/Tunisia-briefing_22-Oct-2024_.pdf | https://www.arabifactshub.com/en/researches/details/45609",unsubstantiated,3,none,"Networks described qualitatively; no bot/fake-account enumeration published for 2024 election window."
