id,title_en,institution,kind,status,award_value,award_currency,award_year,winner,start,end,basis,confidence,attributed_to
ctr-tunisair-airbus-a320neo-2016,Tunisair – Airbus A320neo order and 2019 sale-and-leaseback,tunisair,procurement,signed,900000000,TND,2019,,2016-09,,reported,B,"Ali Miaoui, Tunisair Deputy General Manager and head of the negotiating committee with Airbus — cost of the 5-aircraft sale-and-leaseback operation, reported by African Manager (2019-09-06). Tunisair had paid 200 million dinars and was to secure the rest over two years."
ctr-gct-gabes-dessalement-2016,GCT seawater desalination station at Gabès (announced),gct,ppp,advertised,150000000,TND,2016,,~2016-09,,reported,C,"TAP news agency statement by Romdhane Souid (CPG PDG), carried by Webmanagercenter (2016-09-28)."
ctr-gct-bangladesh-2024,GCT – BADC annual fertiliser export contract (2024),gct,service,signed,,,,,2024-04-29,,documented,B,
ctr-sncft-ebrd-2017,EBRD loan financing SNCFT line works and six electric trains,sncft,procurement,signed,480000000,TND,2017,,2017-12-21,,documented,B,"Webmanagercenter (2017-12-21): 480 million dinars / 160 million euros, signed by Minister of Development Zied Laâdhari, EBRD transport director Sue Barrett and SNCFT PDG Anis Oueslati; 18-year maturity at 1% interest. Kapitalis the same day reports 464 MDT."
ctr-sncft-alstom-caf-2017,SNCFT rolling-stock orders with Alstom and CAF (unverified lead),sncft,procurement,unknown,,,,,~2017,,unsubstantiated,D,"Research roadmap P1 #7 scope statement (""SNCFT rolling stock — the 2017 Alstom/CAF orders""). No award record, contract value, unit count or signing date could be retrieved this run: Tunisian outlets' own archives (Webmanagercenter, Kapitalis, Tunisie Numerique, L'Economiste Maghrébin) carry no Alstom/CAF SNCFT story for 2017-2018, Alstom's press archive redirects, and the Wayback CDX shows nothing under alstom.com for Tunisia in that window."
ctr-sncft-attijari-locomotives-2017,Attijari Bank co-financing of 20 SNCFT locomotives,sncft,procurement,signed,,,,,~2017-02,,reported,C,"Kapitalis and L'Economiste Maghrébin (2017-02-20), reporting the signature of a convention between Attijari Bank and SNCFT."
ctr-steg-eni-gas-2015-2017,STEG – ENI gas supply / exploration deal (unverified lead),steg,service,unknown,,,,,,,unsubstantiated,D,"Research roadmap P1 #7 scope statement (""STEG/ENI gas — the 2015/2017 ENI gas supply or exploration deals""). No 2015 or 2017 contract record could be retrieved this run from the outlets searched (Webmanagercenter, Kapitalis, L'Economiste Maghrébin, Tunisie Numerique) or the Wayback CDX."
ctr-sonede-djerba-dessalement-2018,Djerba seawater desalination station (first in Tunisia),sonede,construction,finished,180000000,TND,2018,,2018-05-02,,documented,B,"Youssef Chahed, then head of government, at the kick-off ceremony on 2 May 2018 (Webmanagercenter/TAP): ""méga-projet réalisé par des compétences tunisiennes moyennant des investissements d'environ 180 millions de dinars"". An earlier SONEDE loan-guarantee law of March 2014 covered 120 MDT."
ctr-sonede-sfax-dessalement-2022,Sfax seawater desalination station (JICA-financed),sonede,construction,signed,800000000,TND,2022,,2022-04-01,,documented,B,"L'Economiste Maghrébin (2022-04-01), reporting the kick-off ceremony: JICA loan of 36.676 billion yen (~800 million dinars), 25-year maturity, 7-year grace, 1.7% interest."
ctr-sonede-zarat-dessalement-2023,Zarat seawater desalination station completed,sonede,construction,finished,,,,,,2023-12,reported,C,"L'Economiste Maghrébin/TAP (02/11/2023), quoting the project's reported completion date (end December 2023)"
ctr-solar-water-south-2022,Solar Water PLC southern-Tunisia solar desalination proposal,sonede,ppp,advertised,600000000,EUR,2022,,~2022-12-01,,reported,C,"Tunisian Ministry of Economy and Planning communiqué (via L'Economiste Maghrébin, 2022-12-01): estimated investment cost of 600 million euros for a 200,000 m3/day solar-powered desalination station in the Tunisian south, presented by Solar Water PLC to minister Samir Saied with UK ambassador Helen Winterton."
ctr-elmed-financing-2023-2024,Elmed interconnector financing package (EU/Team Europe),steg,procurement,signed,472600000,EUR,2024,,2023-08-07,,documented,B,"L'Economiste Maghrébin (N. Dejoui, 2024-06-13) reporting the Tunisia Investment Forum: Team Europe committed a total of 472.6 million euros to ELMED and its ecosystem. Components: EU Connecting Europe Facility grant 307.6 MEUR approved December 2022, grant agreement signed 7 August 2023 by CINEA, TERNA and STEG; EBRD/EIB/KfW loan of 125 MEUR signed December 2023 (submarine cable, EIB-led); EU top-up grant 27 MEUR (December 2023); World Bank credit of 270 MUSD under board examination 21 June 2023 (L'Economiste Maghrébin, H. Marzouk, 2023-06-19)."
ctr-elmed-interconnector-2022,Elmed Tunisia–Italy power interconnector (project record),steg,construction,unknown,,,,,~2022,,reported,C,"Tunisian Ministry of Industry communiqué via L'Economiste Maghrébin (2026-01-24): capacity of 600 MW, ongoing coordination with Italy; project placed under specific government follow-up (2026-01-27)."
ctr-tunisie-autoroutes-a1-reconcession-2026,A1 Hammam Lif-Sousse concession renewal to Tunisie Autoroutes,ministry-equipment-housing,concession,awarded,,,,tunisie-autoroutes,,,reported,C,Kapitalis
ctr-tunisie-autoroutes-a2-concession-2026,A2 Tunis-Jelma concession to Tunisie Autoroutes,ministry-equipment-housing,concession,awarded,,,,tunisie-autoroutes,,,reported,C,Kapitalis
