study_id,kind,id,claim,confidence,basis,notes
S259,event,constitution-2014,"The 2014 constitution is adopted — A mixed parliamentary-presidential settlement dividing authority between president, head of government and parliament. (date: 2014-01-26)",,,
S119,event,hmaidi-convicted-2026,"The head of the judges' association is sentenced — The criminal chamber of the Tunis Court of Appeal upheld a one-year sentence against Anas Hmaidi for obstructing freedom to work, with immediate exec",,,
S219,event,mraihi-arrested-2024,"A declared presidential candidate is arrested — Lotfi Mraihi, president of the Republican People's Union and a declared candidate for the October 2024 presidential election, was arrested under a searc",,,
S238,contract,ctr-tunisair-airbus-a320neo-2016,"Contract ctr-tunisair-airbus-a320neo-2016 — Tunisair – Airbus A320neo order and 2019 sale-and-leaseback (tunisair → no winner)",,,
S169,relationship,board-biat-elyes-jebir,"Elyes Jebir —[board]→ BIAT — Directeur Général of BIAT per the ilboursa company profile (2026), succeeding Mohamed Agrebi. Appointment date not published in accessible sources — JORT/BVMT required. Si",,,
S073,position,p-justice-bououni,"Lazhar Bououni held Minister of Justice (Head of Government) between 2010-01-15 and 2011-01-17",,,
S237,event,ev-libya-dbeibah-talks-tunis-2026,"Libya's Dbeibah government holds crisis talks in Tunis — Members of Libya's internationally recognised Government of National Unity led by Prime Minister Abdulhamid Dbeibah met for crisis talks in Tun",,,
S268,agreement,eu-association-agreement,"agreement eu-association-agreement — The agreement that governs most of Tunisia's external trade. It established a free trade area in industrial goods, phased in over twelve years, while leaving agric",,,
S229,contract,ctr-gct-bangladesh-2024,"Contract ctr-gct-bangladesh-2024 — GCT – BADC annual fertiliser export contract (2024) (gct → no winner)",,,
S048,event,ev-autoroutes-a1-a2-concessions-2026,"Council awards A1 renewal and A2 motorway concessions to Tunisie Autoroutes — A restricted ministerial council chaired by Prime Minister Sara Zaafarani at the Kasbah decided on 12 August 2026 to grant",,,
S153,relationship,rel-world-bank-trabelsi-network-institutional,"World Bank —[institutional]→ Ben Ali / Trabelsi clan network — World Bank research quantified the scale of clan-connected economic capture, and a later assessment found the underlying rent-seeking mec",,,
S009,contract,ctr-steg-eni-gas-2015-2017,"Contract ctr-steg-eni-gas-2015-2017 — STEG – ENI gas supply / exploration deal (unverified lead) (steg → no winner)",,,
S201,position,p-douane-jaouadi,"Najet Omrani Jaouadi held Director-General of Customs (Directorate-General of Customs) between 2021-12-24 and 2024-02",,,
S277,agreement,turkey-tunisia-fta,"agreement turkey-tunisia-fta — Signed in Tunis on 25 November 2004 and in force from 1 July 2005, with a transitional period of up to nine years for the dismantling of tariffs in conformity with Artic",,,
S164,worldClaim,cc-france-largest-creditor,"worldClaim cc-france-largest-creditor",,,
S267,relationship,rel-judiciary-said-ferjani-prosecution,"Judiciary —[prosecution]→ Said Ferjani — Thirteen years at first instance in the conspiracy case.",,,
S230,education,edu-marzouki-strasbourg-md,"Education edu-marzouki-strasbourg-md — moncef-marzouki Doctorate in medicine (docteur en médecine) at unknown",,,
S251,relationship,rel-saida-sassi-bourguiba-family,"Saïda Sassi —[family]→ Habib Bourguiba — Bourguiba's niece.",,,
S157,event,karmous-prison-death-2026,"Death of Salim Karmous in Msaadine prison; the family demands the truth — Nawaat reports the death of Salim Karmous at Msaadine prison and the family's refusal to remain silent, demanding the truth ab",,,
S242,event,cour-des-comptes-losses-2026,"The Court of Auditors identifies 1,070 million dinars in losses — African Manager reports that the Court of Auditors has identified 1,070 million dinars in losses. The figure is a reported total from ",,,
S183,relationship,board-tunisair-bnouni,"Montassar Bnouni —[board]→ Tunisair — Entrusted with the general management of Tunisair by the board of 2 August 2024 (the same day the DG and board-chairmanship functions were separated), and replace",,,
S220,event,tunisia-summons-french-ambassador-2026,"Tunisia summons the French ambassador — African Manager reports that Tunisia summoned the French ambassador after a televised interview by a wanted individual. A bilateral diplomatic incident touching",,,
S043,event,election-2019,"Kais Saied wins the presidency — A constitutional law professor with no party machine defeats a media owner who campaigned from detention. The traditional party structures, Nidaa Tounes above all, are",,,
S189,relationship,rel-fouad-mebazaa-rcd-party,"Fouad Mebazaa —[party]→ Democratic Constitutional Rally — A senior figure of the ruling party who presided its parliamentary majority, and who resigned from it days after taking the interim presidency",,,
S257,relationship,rel-united-arab-emirates-presidency-diplomatic,"United Arab Emirates —[diplomatic]→ Presidency of the Republic — UAE-Tunisia diplomatic relations, notably close after 2021.",,,
S224,relationship,own-mabrouk-investec-100,"Marouane Mabrouk —[ownership]→ Investec (Marwan Mabrouk's holding) — Marwan Mabrouk owned Investec, the personal holding that controlled Orange Tunisie. The confiscation of 29 March 2011 bore on Inves",,,
S300,position,p-foreign-kefi,"Mouldi Kefi held Minister of Foreign Affairs (Head of Government) between 2011-02-13 and 2011-12-24",,,
S130,relationship,rel-selma-elloumi-nidaa-tounes-party,"Selma Elloumi Rekik —[party]→ Nidaa Tounes — Joined at the party's creation and sat on its executive committee.",,,
S249,relationship,rel-radio-zaytouna-ennahda-reported-influence,"Radio Zaytouna —[reported-influence]→ Ennahda Movement — Radio Zaytouna, like its television counterpart, is described in reporting as having an Islamic editorial orientation associated with Ennahda's",,,
S207,licence,lic-zitouna-bank-2009,"Licence lic-zitouna-bank-2009 — banking holder zitouna-bank issuer bct grant ~2009-01",,,
S194,event,ammar-retires,"Rachid Ammar retires and the joint command lapses — He announced his retirement saying he had reached retirement age years earlier and had repeatedly been kept in service. His successor took the Land ",,,
S128,relationship,own-state-investec-2011,"Tunisian State —[ownership]→ Investec (Marwan Mabrouk's holding) — Under decree-law 2011-13 (arts. 1 and 8), the state confiscated on 29 March 2011 the Investec shares belonging to Marwan Mabrouk, the",,,
S178,relationship,rel-amel-ben-yedder-utica-institutional,"Amel Ben Yedder —[institutional]→ UTICA — Principal of the Ben Yedder banking and automotive family. Major shareholders in Amen Bank and Ennakl Automobiles.",,,
S182,position,p-pres-saied,"Kais Saied held President of the Republic (Presidency of the Republic) between 2019-10-23 and ongoing",,,
S151,relationship,rel-naoufel-saied-clan-membership,"Naoufel Saied —[institutional]→ Saied / Chebil family clan network — Heads the ""Naoufel wing"" of the presidential family network. Managed the 2019 campaign and, per reporting, remains the president'",,,
S295,event,bensedrine-sentenced-2026,"Sihem Bensedrine sentenced to 25 years in prison — Sihem Bensedrine, president of the Truth and Dignity Commission (IVD), is sentenced to 25 years in prison — one of the heaviest sentences handed down",,,
S091,position,p-gv-shakir-saheb-ettabaa,"Shakir Saheb Ettabaa held Grand Vizier (Beylical Government) between 1829 and 1837",,,
S087,relationship,own-kallel-poulina-50,"Kallel family (heirs) —[ownership]→ Poulina Group Holding — The heirs of Mohsen Kallel held ~5% of Poulina Group Holding's capital before the July 2008 listing: 5.0% per the AmenInvest placement fiche",,,
S246,declaration,decl-gap-verification,"Declaration decl-gap-verification — asset-declaration by regime ~2019",,,
S143,position,p-justice-bhiri,"Noureddine Bhiri held Minister of Justice (Head of Government) between 2011-12-24 and 2013-03-13",,,
S206,relationship,rel-moncef-marzouki-cpr-party,"Moncef Marzouki —[party]→ Congress for the Republic — Founded the Congress for the Republic in exile in 2001 and led it until the Constituent Assembly elected him head of state.",,,
S144,relationship,board-gct-hedi-youssef,"Hedi Youssef —[board]→ Tunisian Chemical Group — Director-general of the GCT until 1 June 2026, when decree no. 2026-81 of the same day ended his functions. Still in post on 17 July 2025 per the offic",,,
S187,declaration,decl-chahed-2018,"Declaration decl-chahed-2018 — asset-declaration by youssef-chahed 2018-12-12",,,
S067,relationship,rel-marzouki-armed-forces-security,"Moncef Marzouki —[security]→ Tunisian Armed Forces — The first major military operation since 2011: the army's campaign against the jihadist group on Jebel Chaambi (Kasserine), where 27 soldiers had b",,,
S167,relationship,rel-youssef-saheb-ettabaa-mohamed-larbi-zarrouk-political-conflict,"Youssef Saheb Ettabaa —[political-conflict]→ Mohamed Larbi Zarrouk — Mohamed Larbi Zarrouk Khaznadar, maternal uncle of princes Hussein and Moustapha, manipulated them to instigate Youssef Saheb Ettab",,,
S276,relationship,rel-dhafer-sghiri-presidency-reported-influence,"Dhafer Sghiri —[reported-influence]→ Presidency of the Republic — An MP publicly argued that a deep system in Tunisia survives every regime, and that changes of president and party have not dismantled",,,
S075,relationship,rel-mohamed-ennaceur-armed-forces-security,"Mohamed Ennaceur —[security]→ Tunisian Armed Forces — As interim president Ennaceur held the constitutional powers of the head of state, including command of the armed forces, for the 90-day period be",,,
S068,relationship,rel-judiciary-abdelhamid-jelassi-prosecution,"Judiciary —[prosecution]→ Abdelhamid Jelassi — Thirteen years at first instance in the conspiracy case.",,,
S247,declaration,decl-essebsi-2018,"Declaration decl-essebsi-2018 — asset-declaration by beji-caid-essebsi 2018-11-24",,,
S212,relationship,rel-youssef-chahed-selma-elloumi-appointment,"Youssef Chahed —[appointment]→ Selma Elloumi Rekik — Retained as tourism minister on the formation of the Chahed government.",,,
S280,relationship,rel-samir-el-wafi-el-hiwar-ettounsi-institutional,"Samir El Wafi —[institutional]→ El Hiwar Ettounsi — Television host on El Hiwar Ettounsi.",,,
S163,event,election-2024,"Saied is re-elected — Re-election reported as a landslide on low turnout, with the field of candidates heavily constrained and several potential challengers prosecuted or excluded. (date: 2024-10-06)",,,
S034,relationship,rel-aziz-miled-ben-ali-institutional,"Aziz Miled —[institutional]→ Zine El Abidine Ben Ali — Major BIAT shareholder and TTS Group founder, decorated with the highest Tunisian honor by Ben Ali in 2009.",,,
S133,position,p-ig-nafti,"Mohamed Nafti held Inspector-General of the Armed Forces (Tunisian Armed Forces) between 2013-08-22 and ~2015-08",,,
S214,position,p-csee-sg-boughdiri,"Mohamed Ali Boughdiri held Secretary-General of the Higher Council for Education (Higher Council for Education and Teaching) between 2026-08-12 and ?",,,
S248,position,p-foreign-drif,"Rachid Drif held Minister of Foreign Affairs (Head of Government) between 2010 and 2010-01-14",,,
S266,relationship,rel-european-union-presidency-diplomatic,"European Union —[diplomatic]→ Presidency of the Republic — Cooperation arrangements on migration control. Reporting records a sharp fall in departures toward Italy following them, and describes the re",,,
S273,relationship,board-stb-lotfi-debbabi,"Lotfi Debbabi —[board]→ STB — DG of STB from 7 March 2019 to 30 September 2020 (wikipedia-stb); the graph position p-bank-stb-lotfi-debbabi is consistent.",,,
S186,relationship,rel-youssef-chahed-tahya-tounes-party,"Youssef Chahed —[party]→ Tahya Tounes — Founded his own vehicle after the split, becoming an independent political centre.",,,
S165,position,p-int-belhaj-kacem,"Rafiq Belhaj Kacem held Minister of the Interior (Ministry of the Interior) between 2004 and 2011-01-14",,,
S139,position,p-def-dahmani,"Iyed Dahmani held Minister of National Defence (Ministry of National Defence) between 2020-09-02 and 2021-07-25",,,
S234,position,p-csm-bouzakher,"Youssef Bouzakher held President of the Superior Council of the Judiciary (Superior Council of the Judiciary) between 2016-10-23 and 2022-02-13",,,
S080,position,p-speaker-boulares,"Habib Boularès held Speaker of Parliament (Parliament) between 1991-10-09 and 1997-10-14",,,
S121,position,p-gv-mustapha-ben-ismail,"Mustapha Ben Ismail held Grand Vizier (Beylical Government) between 1878-08-24 and 1881-09-12",,,
S258,position,p-gv-slaheddine-baccouche,"Slaheddine Baccouche held Grand Vizier (Beylical Government) between 1943-05 and 1947",,,
S072,position,p-dgsn-bettaieb,"Rached Bettaieb held Director-General of National Security (Directorate-General of National Security) between 2018-03-03 and 2019-12-11",,,
S161,relationship,rel-zied-krichen-mosaique-fm-institutional,"Zied Krichen —[institutional]→ Mosaique FM — Zied Krichen has been a journalist and presenter on Mosaique FM.",,,
S032,relationship,rel-faouzi-elloumi-al-badil-party,"Faouzi Elloumi —[party]→ Al Badil Ettounsi — Moved from Nidaa Tounes to Al Badil Ettounsi. Useful evidence that business families were not unified political blocs.",,,
S222,company,alstom,"Company alstom — Alstom SA",,,
S132,relationship,rel-kamel-akrout-presidency-security,"Kamel Akrout —[security]→ Presidency of the Republic — Naval officer, then head of military security, then national security adviser to the president. The military-to-presidency route documented end t",,,
S023,position,p-dgsn-dabbabi,"Taoufik Dabbabi held Director-General of National Security (Directorate-General of National Security) between 2017-10-25 and 2018-03-02",,,
S045,relationship,rel-marzouki-jebali-political-conflict,"Moncef Marzouki —[political-conflict]→ Hamadi Jebali — The Baghdadi al-Mahmoudi extradition crisis: the head of government ordered the Libyan ex-PM's transfer to Libya on 24 June 2012 without the pres",,,
S120,position,p-media-mosaique-boutar,"Noureddine Boutar held Owner of Mosaique FM (Mosaique FM) between 2003-11-07 and ongoing",,,
S074,education,edu-nouri-mast-energie-ifp-1984,"Education edu-nouri-mast-energie-ifp-1984 — fethi-zouhair-nouri Mastère en économie de l'Énergie at unknown",,,
S192,position,p-gv-taieb-djellouli,"Taieb Djellouli held Grand Vizier (Beylical Government) between 1915-10 and 1922-05",,,
S155,position,p-party-pdp-nejib-chebbi,"Ahmed Néjib Chebbi held Leader of the Progressive Democratic Party (Progressive Democratic Party) between 1983 and 2006",,,
S260,relationship,rel-mebazaa-mechichi-reported-influence,"Fouad Mebazaa —[reported-influence]→ Hichem Mechichi — A decade after leaving office, the former interim president was received by PM-designate Mechichi during the August 2020 government-formation con",,,
S060,education,edu-saied-doctorate-claim,"Education edu-saied-doctorate-claim — kais-saied Doctorate in constitutional law (circulating claim, refuted by fr.wiki) at unknown",,,
S064,position,p-pm-ghannouchi,"Mohamed Ghannouchi held Head of Government (Head of Government) between 1999-11-17 and 2011-01-27",,,
S158,relationship,own-steg-steger,"STEG —[ownership]→ STEG Énergies Renouvelables (STEG-ER) — STEG created its specialised subsidiary STEG Énergies Renouvelables (STEG-ER) in 2010 for wind and solar. The ownership percentage is not sta",,,
S177,relationship,own-stb-sonibank-25,"STB —[ownership]→ Société Nigérienne de Banque (Sonibank) — The STB holds 25% of the Société Nigérienne de Banque (Sonibank), present in Niger and Benin. Re-proposal of the 08-08 candidate, anchored b",,,
S036,relationship,rel-cpg-ugtt-political-conflict,"Gafsa Phosphate Company —[political-conflict]→ UGTT — The Gafsa mining basin has been the country's most persistent site of industrial conflict since the 2008 uprising, and strikes, sit-ins and transp",,,
S287,relationship,rel-moncef-mzabi-ben-ali-institutional,"Moncef Mzabi —[institutional]→ Zine El Abidine Ben Ali — The Mzabi family identified as a financier of Ben Ali's electoral campaigns.",,,
S102,relationship,rel-saida-sassi-bourguiba-reported-influence,"Saïda Sassi —[reported-influence]→ Habib Bourguiba — Reported to have gained influence over the ageing president once his wife had been removed from the palace, in the fifteen months before his deposi",,,
S213,agreement,arab-maghreb-union-treaty,"agreement arab-maghreb-union-treaty — Concluded at Marrakesh by Tunisia, Algeria, Morocco, Libya and Mauritania, and registered with the United Nations as treaty I-26844. It committed the five to the ",,,
S294,declaration,decl-2011-regime-8717,"Declaration decl-2011-regime-8717 — asset-declaration by regime ~2011",,,
S299,relationship,rel-ltdh-national-dialogue-quartet-institutional,"Tunisian League for the Defence of Human Rights —[institutional]→ National Dialogue Quartet — LTDH was one of the four organisations in the National Dialogue Quartet.",,,
S171,education,edu-marzouki-bac-regnault,"Education edu-marzouki-bac-regnault — moncef-marzouki Baccalauréat, Lycée Regnault (Tangier, Morocco) at unknown",,,
S168,event,rcd-dissolved,"The RCD is dissolved by court order — The party-state apparatus is formally dismantled. (date: 2011-03-09)",,,
S118,position,p-justice-bousseta,"Mohamed Bousseta held Minister of Justice (Head of Government) between 2020-09-02 and 2021-02-15",,,
S239,position,p-pm-zaafarani,"Sara Zaafarani held Head of Government (Head of Government) between 2025-03-20 and ongoing",,,
S290,agreement,bit-kuwait-1973,"agreement bit-kuwait-1973 — Signed 14 September 1973 but only in force from 28 May 2006 — an unusually long, 33-year gap between signature and entry into force, per the UNCTAD IIA Navigator, which lis",,,
S225,position,p-pm-madouri,"Kamel Madouri held Head of Government (Head of Government) between 2024-08-07 and 2025-03-20",,,
S193,position,p-justice-snoussi,"Mohamed Snoussi held Minister of Justice (Head of Government) between 1969-09-06 and 1970-06-12",,,
